add_model,workspace_dir,conversation_idx,session_index,delta_count,salient_fact_count,precision_score,recall_score,auxiliary_score,session_score
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,18,18,8,0.9778,1.0,1.0,0.9926
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,19,14,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,1,8,8,1.0,0.75,1.0,0.9167
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,2,10,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,3,9,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,4,10,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,5,7,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,6,9,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,7,15,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,8,21,8,0.9238,0.875,1.0,0.9329
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,9,10,8,1.0,0.875,1.0,0.9583
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,10,8,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,11,15,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,12,10,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,13,14,8,0.9143,0.875,1.0,0.9298
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,14,18,8,0.8889,1.0,1.0,0.963
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,15,14,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,16,20,8,1.0,1.0,1.0,1.0
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,17,26,8,0.9538,1.0,1.0,0.9846
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,18,7,8,0.8571,0.75,1.0,0.869
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,19,12,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,1,8,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,2,8,8,0.95,1.0,1.0,0.9833
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,3,8,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,4,8,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,5,5,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,6,8,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,7,7,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,8,8,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,9,7,8,0.9429,0.875,1.0,0.9393
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,10,9,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,11,7,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,12,7,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,13,9,8,0.9556,1.0,1.0,0.9852
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,14,10,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,15,12,8,0.9667,1.0,1.0,0.9889
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,16,8,8,1.0,1.0,1.0,1.0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,17,11,8,0.9818,1.0,1.0,0.9939
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,18,4,8,0.75,1.0,1.0,0.9167
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,19,8,8,0.9,1.0,1.0,0.9667
